,Start,End
0,2022-09-09 13:59:21.758652,2022-09-09 13:59:22.057017
1,2022-09-09 13:59:22.089935,2022-09-09 13:59:22.298068
2,2022-09-09 13:59:22.426056,2022-09-09 13:59:24.632317
3,2022-09-09 13:59:25.466449,2022-09-09 13:59:25.530989
4,2022-09-09 13:59:25.599607,2022-09-09 13:59:27.530586
5,2022-09-09 13:59:28.333061,2022-09-09 13:59:28.505673
6,2022-09-09 13:59:28.633617,2022-09-09 13:59:35.642151
7,2022-09-09 13:59:36.441044,2022-09-09 13:59:36.584426
8,2022-09-09 13:59:36.715437,2022-09-09 13:59:39.240887
9,2022-09-09 13:59:39.353021,2022-09-09 13:59:39.383938
10,2022-09-09 13:59:39.576061,2022-09-09 13:59:39.641455
11,2022-09-09 13:59:39.721351,2022-09-09 13:59:39.754396
12,2022-09-09 13:59:39.816230,2022-09-09 13:59:39.915270
13,2022-09-09 13:59:39.944720,2022-09-09 13:59:46.792120
14,2022-09-09 13:59:46.825956,2022-09-09 13:59:49.895969
15,2022-09-09 13:59:49.961119,2022-09-09 13:59:49.994023
16,2022-09-09 13:59:50.728424,2022-09-09 13:59:53.370118
17,2022-09-09 13:59:54.360559,2022-09-09 13:59:54.568309
18,2022-09-09 13:59:54.760019,2022-09-09 13:59:56.696326
19,2022-09-09 13:59:57.802172,2022-09-09 14:00:00.441355
20,2022-09-09 14:00:01.338625,2022-09-09 14:00:03.705147
21,2022-09-09 14:00:04.808245,2022-09-09 14:00:07.352929
22,2022-09-09 14:00:08.584546,2022-09-09 14:00:10.825721
23,2022-09-09 14:00:11.929732,2022-09-09 14:00:11.961746
24,2022-09-09 14:00:12.490675,2022-09-09 14:00:12.954956
25,2022-09-09 14:00:13.040538,2022-09-09 14:00:18.363137
26,2022-09-09 14:00:19.338681,2022-09-09 14:00:21.274235
27,2022-09-09 14:00:22.504560,2022-09-09 14:00:24.777082
28,2022-09-09 14:00:26.042038,2022-09-09 14:00:26.106824
29,2022-09-09 14:00:26.537595,2022-09-09 14:00:28.745703
30,2022-09-09 14:00:30.251474,2022-09-09 14:00:32.314847
31,2022-09-09 14:00:33.383669,2022-09-09 14:00:35.722290
32,2022-09-09 14:00:37.130076,2022-09-09 14:00:39.210537
33,2022-09-09 14:00:40.425086,2022-09-09 14:00:40.569330
34,2022-09-09 14:00:41.096581,2022-09-09 14:00:43.253418
